2023-01-03,2572
2023-01-04,2603
2023-01-05,2617
2023-01-06,2605
2023-01-09,2690
2023-01-10,2604
2023-01-11,2633
2023-01-12,2640
2023-01-13,2651
2023-01-17,2641
2023-01-18,2620
2023-01-19,2570
2023-01-20,2569
2023-01-23,2608
2023-01-24,2585
2023-01-25,2592
2023-01-26,2629
2023-01-27,2627
2023-01-30,2611
2023-01-31,2581
2023-02-01,2592
2023-02-02,2583
2023-02-03,2569
2023-02-06,2577
2023-02-07,2581
2023-02-08,2579
2023-02-09,2578
2023-02-10,2564
2023-02-13,2621
2023-02-14,2621
2023-02-15,2692
2023-02-16,2700
2023-02-17,2722
2023-02-21,2732
2023-02-22,2738
2023-02-23,2729
2023-02-24,2707
2023-02-27,2715
2023-02-28,2748
2023-03-01,2800
2023-03-02,2760
2023-03-03,2730
2023-03-06,2761
2023-03-07,2726
2023-03-08,2699
2023-03-09,2702
2023-03-10,2674
2023-03-13,2613
2023-03-14,2628
2023-03-15,2586
2023-03-16,2658
2023-03-17,2738
2023-03-20,2785
2023-03-21,2817
2023-03-22,2874
2023-03-23,2868
2023-03-24,2884
2023-03-27,2902
2023-03-28,2901
2023-03-29,2880
2023-03-30,2917
2023-03-31,2933
2023-04-03,2868
2023-04-04,2914
2023-04-05,2903
2023-04-06,2919
2023-04-10,2922
2023-04-11,2985
2023-04-12,2954
2023-04-13,3002
2023-04-14,2984
2023-04-17,3003
2023-04-18,3054
2023-04-19,3079
2023-04-20,3087
2023-04-21,3171
2023-04-24,3203
2023-04-25,3149
2023-04-26,3176
2023-04-27,3150
2023-04-28,3174
2023-05-01,3171
2023-05-02,3130
2023-05-03,3014
2023-05-04,3052
2023-05-05,3109
2023-05-08,3179
2023-05-09,3229
2023-05-10,3260
2023-05-11,3242
2023-05-12,3226
2023-05-15,3160
2023-05-16,2995
2023-05-17,3000
2023-05-18,2991
2023-05-19,3068
2023-05-22,3023
2023-05-23,3016
2023-05-24,3010
2023-05-25,3017
2023-05-26,2991
2023-05-30,3005
2023-05-31,3007
2023-06-01,3008
2023-06-02,3026
2023-06-05,3056
2023-06-06,3045
2023-06-07,3103
2023-06-08,3149
2023-06-09,3180
2023-06-12,3136
2023-06-13,3186
2023-06-14,3189
2023-06-15,3226
2023-06-16,3188
2023-06-20,3142
2023-06-21,3164
